79.0,158.691140875
85.0,172.792704977
33.0,71.7253444456
57.0,116.331564261
23.0,49.3004108885
67.0,139.227445486
79.0,156.027370742
27.0,61.3783813394
20.0,45.4848782908
15.0,34.0242924253
88.0,181.558729261
15.0,30.3711162564
88.0,183.758714751
15.0,28.6836550762
27.0,58.8186850855
75.0,156.73898417
26.0,53.4917989457
67.0,141.497957659
20.0,39.3175346964
5.0,16.0207742945
21.0,40.6017655558
74.0,146.916365161
92.0,182.809797857
28.0,54.0442360189
53.0,112.176389227
32.0,71.773447362
28.0,61.8915723784
99.0,204.903846081
60.0,120.254427467
33.0,68.6618933552
66.0,137.293280108
30.0,64.9618899076
65.0,132.414188313
7.0,14.2757923809
91.0,189.340209421
66.0,134.052090002
14.0,35.5096577762
40.0,80.5397892735
64.0,127.08511603
29.0,59.9038621844
